Measurement time:; 13/8/2024 16:21:48
Radiation device:; Synergy Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 62,2; 3,46; 10919,7; 3,26
0,0; 0,0; 61,1; 4,08; 12861,1; 3,93
0,0; 0,0; 60,2; 5,11; 16111,7; 4,83
0,0; 0,0; 59,1; 6,46; 20373,3; 6,08
0,0; 0,0; 58,1; 8,07; 25459,7; 7,68
0,0; 0,0; 57,1; 9,96; 31431,5; 9,37
0,0; 0,0; 56,1; 12,64; 39877,5; 11,72
0,0; 0,0; 55,1; 15,08; 47560,8; 14,28
0,0; 0,0; 54,1; 18,39; 58005,3; 17,06
0,0; 0,0; 53,1; 22,24; 70159,6; 20,62
0,0; 0,0; 52,1; 25,62; 80795,3; 23,94
0,0; 0,0; 51,1; 30,36; 95760,4; 27,86
0,0; 0,0; 50,1; 34,71; 109491,6; 32,10
0,0; 0,0; 49,1; 39,64; 125032,7; 36,30
0,0; 0,0; 48,1; 45,15; 142415,1; 40,93
0,0; 0,0; 47,1; 48,20; 152036,7; 44,90
0,0; 0,0; 46,1; 55,02; 173534,5; 49,50
0,0; 0,0; 45,1; 59,01; 186119,9; 54,09
0,0; 0,0; 44,1; 64,42; 203205,0; 58,54
0,0; 0,0; 43,1; 69,89; 220452,3; 63,05
0,0; 0,0; 42,1; 74,15; 233868,8; 66,88
0,0; 0,0; 41,1; 78,77; 248449,7; 71,06
0,0; 0,0; 40,1; 84,64; 266986,6; 75,03
0,0; 0,0; 39,1; 86,01; 271303,5; 78,32
0,0; 0,0; 38,1; 92,16; 290678,5; 81,62
0,0; 0,0; 37,1; 95,57; 301431,8; 84,75
0,0; 0,0; 36,0; 97,44; 307356,6; 87,25
0,0; 0,0; 35,0; 101,95; 321580,3; 89,76
0,0; 0,0; 34,0; 102,96; 324757,2; 91,73
0,0; 0,0; 33,0; 105,86; 333893,3; 93,61
0,0; 0,0; 32,0; 109,36; 344957,2; 95,30
0,0; 0,0; 31,0; 110,32; 347971,3; 96,50
0,0; 0,0; 30,0; 109,92; 346721,1; 97,63
0,0; 0,0; 29,0; 112,43; 354628,6; 98,47
0,0; 0,0; 28,0; 115,19; 363328,0; 99,16
0,0; 0,0; 27,0; 113,57; 358221,3; 99,54
0,0; 0,0; 26,0; 114,57; 361367,2; 99,64
0,0; 0,0; 25,0; 116,05; 366029,4; 100,00
0,0; 0,0; 24,0; 115,97; 365791,8; 99,71
0,0; 0,0; 23,0; 114,30; 360533,1; 99,82
0,0; 0,0; 22,0; 116,28; 366777,1; 99,52
0,0; 0,0; 21,0; 116,59; 367737,8; 99,14
0,0; 0,0; 20,0; 114,51; 361175,0; 98,90
0,0; 0,0; 19,0; 115,77; 365173,9; 98,25
0,0; 0,0; 18,0; 114,54; 361281,2; 97,80
0,0; 0,0; 17,0; 114,06; 359762,1; 97,39
0,0; 0,0; 15,9; 113,59; 358280,0; 96,83
0,0; 0,0; 14,9; 113,96; 359436,5; 96,39
0,0; 0,0; 13,9; 113,26; 357252,0; 95,64
0,0; 0,0; 12,9; 112,10; 353596,6; 95,13
0,0; 0,0; 11,9; 111,44; 351499,3; 94,56
0,0; 0,0; 10,9; 111,47; 351607,1; 93,97
0,0; 0,0; 9,9; 112,36; 354396,7; 93,40
0,0; 0,0; 8,9; 110,08; 347216,1; 92,70
